Podcast ID,Podcast Title,Bitly Link,Total Clicks,2024-12-17,2024-12-18,2024-12-19
a7bd841d41104c8fbb091766f2642a1f,Explore (Startups Founders and Investors),https://whr.tn/4fpVLrf,1,1,0,0
611ea6d681c74649b82209c1825bc639,El Podcast,https://whr.tn/4fDzNRT,0,0,0,0
75ce196cdb6049309f3b9376d92c84dc,The Alchemist's Library,https://whr.tn/4fnlxfy,1,1,0,0
f72565cdee81475883d5b46e3c738f6e,"The Allred, White & Blue Podcast",https://whr.tn/4iR1lpE,1,1,0,0
6ee7938a59df4d038220ceb54c58bfca,That Said With Michael Zeldin,https://whr.tn/3DkfoUk,0,0,0,0
a18eebeb4f484314b55ef7fa71ff0142,BEYOND BARRIERS,https://whr.tn/3ZVTDTr,0,0,0,0
e8c16a18ed4f4833916f9d0bc539ea2c,Philosophy For Our Times,https://whr.tn/3DlWegT,0,0,0,0
b495f853c00f4c168d4ccb0ff271efa8,It's Going To Be OK,https://whr.tn/4fmpBNe,0,0,0,0
94a6f0103afb47e9801ce75bf81f4423,PW Comics World: More To Come,https://whr.tn/3ZVTHm9,1,1,0,0
7b4c4db9466e4699b4ae2c9eadda1dbd,The She Said Project Podcast,https://whr.tn/3VDhlBl,0,0,0,0
c9f8d702ff8c433ba3b9749d963075d0,Evangelical Dark Web,https://whr.tn/3ZV7wS6,0,0,0,0
846d5f0a77084011aa7448109c18d7b1,The Modern Customer Podcast,https://whr.tn/3ZVTJdL,2,2,0,0
b56f8cb1ccff4a188209312df69897a8,Madam Policy,https://whr.tn/3BtWaep,0,0,0,0
d7b9836d868140dd99f52f287faf90b6,AM Best Audio Podcast,https://whr.tn/3ZUVece,0,0,0,0
407b056f60b048c6bc1093308a8d5446,Guerrilla History,https://whr.tn/3BwadQG,0,0,0,0
cb899ba670cf4b4ea76ca2f8379756fa,Independent Thinking,https://whr.tn/3ZV7z0e,0,0,0,0
7b0735bbb3204a6cbb8d51579eb74b66,One Night in Bangkok,https://whr.tn/3BBTuvd,0,0,0,0
855fc22b077440c7b426ed3d18dbfda6,The Longevity & Lifestyle Podcast,https://whr.tn/3VDhlRR,0,0,0,0
4f31eeb34b154e9f82e91b808ccf4d09,Gully Tv Presents...The Dribble,https://whr.tn/3BALYAO,0,0,0,0
aa913da660314c1084cd1bd5a26112ed,Trucking Risk and Insurance Podcast,https://whr.tn/4iU7n95,1,1,0,0
