podcast_id,treatment,episodes_analyzed,episodes_with_guests,total_guests,female_guests,urm_guests,female_percentage,urm_percentage,window_start,window_end
000acb023f5a41299cbbfaf50bb83a93,0,0,0,0,0,0,0.0,0.0,2025-03-28,2025-06-26
0049bbc63a6c4fd7970b1650ae81c72c,0,0,0,0,0,0,0.0,0.0,2025-04-10,2025-07-09
008b69bf31ab4265945de3fadd242b7b,1,0,0,0,0,0,0.0,0.0,2025-03-29,2025-06-27
004ed14f6e49458aa1ab630259d1d63d,1,0,0,0,0,0,0.0,0.0,2025-04-03,2025-07-02
00ac96b8154b49b8b1492d39ee8430cc,1,0,0,0,0,0,0.0,0.0,2025-04-10,2025-07-09
004269d5d96343a29b5b3e9909da6971,0,0,0,0,0,0,0.0,0.0,2025-04-03,2025-07-02
01111fb3fe77485ea30ba26dbc67943d,1,0,0,0,0,0,0.0,0.0,2025-04-03,2025-07-02
00563abf85504d7fa1d3f89ca8dcc02f,1,0,0,0,0,0,0.0,0.0,2025-04-10,2025-07-09
0175b42d746f413c99fd8a629b9447b5,1,0,0,0,0,0,0.0,0.0,2025-04-02,2025-07-01
009df88b84dd4cae83c72787f96488b4,1,1,0,0,0,0,0,0,2025-04-03,2025-07-02
0129690cb7b24c2495de55088e62a8c0,0,2,1,2,2,0,100.0,0.0,2025-04-10,2025-07-09
00281949487c4b7683546b487cecdcf6,1,3,2,2,0,0,0.0,0.0,2025-04-03,2025-07-02
00d328bf074546e9883bbc682bb3ed79,0,7,3,3,1,0,33.33,0.0,2025-03-28,2025-06-26
00ea53415ed74cbe9867cf6f9a04e61a,0,4,4,4,3,4,75.0,100.0,2025-03-28,2025-06-26
015210291d5a4eccbee9dd0203496068,0,2,2,3,1,0,33.33,0.0,2025-04-02,2025-07-01
01d2f45f29b14257b815eef7fe839a16,1,3,0,0,0,0,0,0,2025-03-28,2025-06-26
014e1f07916741029989474a17632aad,1,2,2,3,2,0,66.67,0.0,2025-04-03,2025-07-02
0204d1004d5646f0a50ef441dfdb40c0,0,2,0,0,0,0,0,0,2025-04-03,2025-07-02
0013a5f6fa4b4c67ac1f468eb533dc1f,0,3,3,4,2,0,50.0,0.0,2025-04-04,2025-07-03
00cd1bd78113425fbdc5a4f06e417bf5,0,4,4,4,1,1,25.0,25.0,2025-04-02,2025-07-01
021b91f139874ad7b98bf94c554257c0,0,0,0,0,0,0,0.0,0.0,2025-04-03,2025-07-02
0192707107694d66b79eeae80f6c6fdb,1,4,4,4,1,0,25.0,0.0,2025-04-04,2025-07-03
